자료:,4.87552295646644
국내,3.4419123913993475
코로나19,2.9149941213445394
외국인,2.7486181073093183
수입,2.598447909056621
관광객,2.429571856621515
그림,2.1320418230099603
호텔,2.0808275790625377
기준,1.9937506648915995
비중,1.9013627995350793
예상,1.7907309070149853
하락,1.761027362244357
감소,1.7289059062120815
확진자,1.6432898763829051
확산,1.5949981161053768
객실,1.57171625834162
증가,1.5031427519126397
20,1.4298925100220514
중국,1.419043345623717
따른,1.3951306936761392
추이,1.299928590282759
메르스,1.2742671002684536
한국호텔업협회,1.2714831257399677
과거,1.2445415617955415
수는,1.2110563969891248
장기화,1.2034445709109773
중심으로,1.1668462444550993
입국,1.141237780224277
경우,1.088937206665168
이후,1.086861989124158
전망,1.0469144874025103
대한,1.0403109360901803
-1,1.0
사스,0.9620170135520003
주:,0.9365355687536349
것으로,0.932368146460646
가능성,0.915492100863554
추세,0.8674807605737959
시장,0.8577035567247204
폭으,0.8541659442138854
기록,0.8387115340202461
소비,0.8346598122146284
2월,0.8305467843516875
지속,0.7833999832393639
확대,0.7823001058059115
등급,0.754919586684619
불가피,0.7456658382292268
발생,0.7398561249890765
평균,0.7017201180979362
전년,0.6559353388991127
